Company,Product,Sum of Amount,Sum of Gross profit,Sum of Quantity,Sum of GP_pct
THSITH,FYJ 55 KF-SKF / Y-BEARINGS(UKF 211=50m.m./2,113029.08,15071.82,88,13.3%
THSITH,"RB 16-SEAL MASTER / BEARINGS 1""",112800,31500,48,27.9%
THSITH,"PHE F60FTBFLG-SKF / เฉพาะหน้าแปลนรุ่น""F"" TB1",112573.9,46242.11,43,41.1%
THSITH,7322 BECBM-SKF / BEARINGS,111968,14217.74,5,12.7%
THSITH,TU 50 TF-SKF / Y-BEARINGS(UCT 210),111810.26,18060.71,101,16.2%
THSITH,728619 E-SKF / ปั๊มไฮดรอลิค แรงดัน 150 MPa,111737,7449.32,1,6.7%
THSITH,MCF 16 SBX-MCGILL / Cam Followers,111688,22084,115,19.8%
THSITH,22224 EK-SKF / BEARINGS,111511,17689.03,12,15.9%
THSITH,698 ZZ-HW / L 1980 ZZ BEARINGS/8X19X6 MM.,111460,87772.62,1687,78.7%
THSITH,NU 316 ECP/C3-SKF / BEARINGS,111194,21955.07,21,19.7%
THSITH,30310-SKF / BEARINGS,110866,16613.24,103,15.0%
THSITH,6201-2RSH/C3-SKF / BEARINGS,110864,13632.59,1626,12.3%
THSITH,7324-BCBM-SKF / BEARING,110704,14700.24,4,13.3%
THSITH,LAGG 180 AE-SKF / ปั๊มอัดจารบีสำหรับถัง 180 ก.ก.,110348,23989.04,2,21.7%
THSITH,6002-2Z-SKF / BEARINGS,110287,16442.02,1313,14.9%
THSITH,6015-2Z-SKF / BEARINGS,110271,16650.33,107,15.1%
THSITH,6217/C3-SKF / BEARINGS,110132,17710.79,77,16.1%
THSITH,23034 CC/W33-SKF / BEARINGS,110003,10658.61,7,9.7%
THSITH,61956 M-FAG / BEARINGS,110000,8635,2,7.9%
THSITH,LM 11949/910-TIMKEN / BEARINGS/SET,109882,32472,232,29.6%
THSITH,6228/C3-SKF / BEARINGS,109512,16063.73,14,14.7%
THSITH,6218-2RS1-SKF / BEARINGS,109344.42,12862.52,44,11.8%
THSITH,626-2RSH-SKF / BEARINGS,109302,13559.03,1740,12.4%
THSITH,63008-2RS1-SKF / BEARINGS,108597.04,11591.31,177,10.7%
THSITH,24036 CC/C3W33-SKF / BEARINGS,108576,21826.84,4,20.1%
THSITH,61828-2RS1-SKF / BEARINGS,108543,19031.36,15,17.5%
THSITH,ASNU 20-STIEBER / ONE WAY BEARINGS/NFS 2,108480,9480,33,8.7%
THSITH,6215-2RS1-SKF / BEARINGS,108271,15683.22,84,14.5%
THSITH,SNL 524-620-SKF / PLUMMER BLOCK HOUSINGS,107840,24710.34,11,22.9%
THSITH,22230 CC/C3W33-SKF / BEARINGS,107272,18358.84,6,17.1%
THSITH,3311 ANR-SKF / BEARINGS,107260,17474.64,20,16.3%
THSITH,H 3132-SKF / ADAPTER SLEEVES,107238,22791.89,14,21.3%
THSITH,63006-2RS1-SKF / BEARINGS,107119,3741.68,225,3.5%
THSITH,6218/C3VL0241-SKF / INSOCOAT BEARINGS,107093,13463.46,5,12.6%
THSITH,6310-2RS1/C3-SKF / BEARINGS,106529,12636.78,149,11.9%
THSITH,W 6006 2RS1-SKF / ลูกปืนสแตนเลส,106246.72,15899.56,82,15.0%
THSITH,"3.7/16""X4.1/4""X5/8""-NATIONAL / 455499 OIL SEA",106000,32419.5,98,30.6%
THSITH,6211-2Z/C3-SKF / BEARINGS,105999,18119.79,175,17.1%
THSITH,KRV 22 PPA-INA / BEARINGS,105975,53475,105,50.5%
THSITH,31322 X.XL-P5-DF-A140-180-FAG / TAPER BEARI,105730,7129.5,2,6.7%
THSITH,PHC 80-1X10FT-SKF / ROLLER CHAINS (ANSI),105607,52955.54,37,50.1%
THSITH,22222 E-SKF / BEARINGS,105607,13332.81,15,12.6%
THSITH,7313 BEP-SKF / BEARINGS,105153,17459.92,30,16.6%
THSITH,CTL5954016T-SENATOR / CLASSIC ROLLER CAB,105000,11250,6,10.7%
THSITH,BS2-2210-2RS/VT143-SKF / BEARINGS,104854.8,12367.51,40,11.8%
THSITH,TMAS 75/KIT-SKF / Machinery Shims Kit 75x75 mm,104512,22742.4,6,21.8%
THSITH,NU 328 ECM/C3-SKF / BEARING,104344.44,11567.19,3,11.1%
THSITH,6210-2Z-SKF / BEARINGS,103732,17127.4,285,16.5%
THSITH,NFR 45-STIEBER / Clutch Bearing,103178,18678,3,18.1%
THSITH,23120 CC/W33-SKF / BEARINGS,103102.06,9739.97,18,9.4%
THSITH,T4EE 160/VB406-SKF / Taper Roller Bearings,103002,6657.21,6,6.5%
THSITH,VIBRATION ANALYSIS (ONE-OFF) / Services - 2 P,103000,103000,4,100.0%
THSITH,3308 A-2RS1TN9/MT33-SKF / BEARINGS,102833,15050.09,43,14.6%
THSITH,22209 EK/C3-SKF / BEARINGS,102671,15283.37,55,14.9%
THSITH,KM 12-SKF / LOCK NUT,102624,26033.63,391,25.4%
THSITH,61813-2RS1-SKF / BEARINGS,102460,16081.22,68,15.7%
THSITH,16020-SKF / BEARINGS,102144,18794.5,42,18.4%
THSITH,NU 214 ECP-SKF / BEARINGS,101894.84,16183.23,46,15.9%
THSITH,H 913849-TIMKEN / BEARINGS/CONE,101514,28434,14,28.0%
THSITH,NU 316 ECP-SKF / BEARINGS,101134,19782.77,19,19.6%
THSITH,PHE SM30-180DBSE-SKF / FLEX SPACER COUPL,101070,57313.74,9,56.7%
THSITH,TKSA 40/REPAIR / SERVICE (SHAFT ALIGNMEN,101000,25000,3,24.8%
THSITH,NU 322 ECP-SKF / BEARINGS,100685,21946.99,8,21.8%
THSITH,7904 CYDUP4/GL-NACHI / BEARINGS/2 ตลับ,100500,39700,16,39.5%
THSITH,6312-2RS1/C3-SKF / BEARINGS,100083,15907.54,68,15.9%
THSITH,LGFG 2/0.4-SKF / จารบีสำหรับอุตสาหกรรมอาหาร -3,100068,23310.92,128,23.3%
THSITH,TSN 513 L-SKF / SEALS,100050.4,14809.17,230,14.8%
THSITH,ADDINOL FG GREASE AL 2 / Usefuk Temp (-45C),100000,25200,4,25.2%
THSITH,PHC 24B-3X10FT-SKF / BS ROLLER CHAINS,99896,24972.8,4,25.0%
THSITH,6319/C4-SKF / BEARINGS,99775,13495.84,19,13.5%
THSITH,KC 6022-NDIS / CHAIN COUPLING,99360,34761.83,48,35.0%
THSITH,61802-2RS1-SKF / BEARINGS,98750.4,14578.26,380,14.8%
THSITH,6219-2RS1-SKF / BEARINGS,98742,14850.23,33,15.0%
THSITH,32010 X-SKF / BEARINGS,98693,15566.22,192,15.8%
THSITH,TSN 515 L-SKF / SEALS,98651.56,18919.66,172,19.2%
THSITH,SYJ 65 KF-SKF / Y-BEARINGS(UKP 213=60MM./2,98568,25679.92,46,26.1%
THSITH,NU 220 ECM-SKF / BEARING,98430,14511.59,10,14.7%
THSITH,6017-2RS1-SKF / BEARINGS,97684,16519.23,58,16.9%
THSITH,61906-2RS1-SKF / BEARINGS,97547,15201.7,268,15.6%
THSITH,3205 A-2ZTN9/MT33-SKF / BEARINGS,97500,58178.09,51,59.7%
THSITH,NJ 212 E.XL.TVP2-FAG / BEARINGS,97200,40633.2,60,41.8%
THSITH,PHE 1120TGRSB-SKF / GRID COUPLING HUB,97140,27006.36,4,27.8%
THSITH,"P205-M070-4XYBU-1K7-380-420,440-480 / PROGR",97000,5585,1,5.8%
THSITH,23240 CC/W33-SKF / BEARINGS,96762,10948.82,2,11.3%
THSITH,PHE F80NRTYRE-SKF / เฉพาะยาง Flex Couplings,96225,48485.24,72,50.4%
THSITH,NU 332 ECML/C3-SKF / BEARING,96175,5236.46,2,5.4%
THSITH,7313 BEGAM-SKF / BEARINGS,96164,13491.36,16,14.0%
THSITH,PHG SPB3250-SKF / WEDGE BELT,96081,32413,135,33.7%
THSITH,6326/C3-SKF / BEARINGS,96055,6819.1,5,7.1%
THSITH,2203 E-2RS1TN9-SKF / BEARINGS,96046,14249.53,141,14.8%
THSITH,LAGD 125/WA2-SKF / SYSTEM 24,96012,15415.6,79,16.1%
THSITH,SY 17 TF-SKF / Y-BEARINGS (UCP 203),96000,15954.76,200,16.6%
THSITH,SKF ENLIGHT CENTER CLOUD SERVICE / Enligh,96000,96000,2,100.0%
THSITH,"SHS25-2080L-THK / Linear Shaft/G1,G2= 20 MM.",95932,15760,4,16.4%
THSITH,6332L1C3-NTN / BEARINGS/BRASS CAGE,95920,17320,4,18.1%
